,event,time_scal
2598,9,0.04902314814814815
2599,8,0.04902893518518518
2600,9,0.04903009259259259
2601,8,0.04903472222222222
2602,9,0.04903703703703704
2603,7,0.04904282407407407
2604,8,0.04904398148148148
2605,6,0.04904976851851852
2606,9,0.04906481481481482
2607,8,0.04906712962962963
2608,9,0.04907291666666667
2609,8,0.049075231481481484
2610,9,0.04908101851851852
2611,8,0.049082175925925925
38512,22,0.049090277777777774
38513,23,0.049116898148148146
2612,9,0.049122685185185186
2613,8,0.049123842592592594
2614,9,0.049130787037037035
2615,8,0.04913194444444444
2616,9,0.04914351851851852
2617,8,0.04914699074074074
2618,9,0.049152777777777774
2619,8,0.04915393518518518
2620,9,0.049158564814814815
2621,8,0.04915972222222222
38514,22,0.04916319444444445
2622,9,0.04917476851851852
2623,8,0.04917708333333334
2624,9,0.04918287037037037
2625,8,0.049185185185185186
38515,23,0.0491875
2626,9,0.04919097222222222
2627,8,0.04919212962962963
38516,22,0.0492037037037037
2628,9,0.04921180555555556
2629,8,0.04921412037037037
2630,9,0.04921875
2631,8,0.049221064814814815
2632,9,0.049226851851851855
38517,23,0.049228009259259256
2633,8,0.04923032407407407
38518,22,0.049261574074074076
38519,23,0.051229166666666666
38520,22,0.05125
2634,0,0.052550925925925925
2635,1,0.05262847222222222
2636,0,0.052635416666666664
2637,1,0.052717592592592594
2638,0,0.052925925925925925
2639,1,0.05301157407407407
2640,0,0.05365046296296296
2641,1,0.053717592592592595
38521,23,0.05528703703703704
2642,7,0.05536226851851852
2643,6,0.05536805555555555
38522,22,0.05543055555555555
2644,9,0.05543981481481482
2645,8,0.055457175925925924
38523,23,0.05546064814814815
2646,9,0.055462962962962964
2647,8,0.05546643518518519
2648,9,0.05546759259259259
2649,8,0.05546875
2650,9,0.05547106481481481
2651,8,0.05548263888888889
2652,9,0.055483796296296295
2653,8,0.055489583333333335
2654,9,0.05549189814814815
2655,11,0.05549421296296296
2656,8,0.05549652777777778
2657,7,0.05549884259259259
2658,9,0.05549884259259259
